age,education,balance,day,month,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,contact_telephone,contact_nan,poutcome_other,poutcome_success,poutcome_nan,marital_married,marital_single,default_yes,housing_yes,loan_yes,subscribed_yes,total_contact
32,0.666666667,392,1,3,957,0.693147181,131,0.693147181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.925580779
39,0.333333333,688,1,3,233,0.693147181,133,0.405465108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.783901544
59,0.333333333,1035,1,3,126,0.693147181,239,0.405465108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.783901544
47,0.333333333,398,1,3,274,0,238,0.693147181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.783901544
54,0.333333333,1004,1,3,479,0,307,0.405465108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.618782765
46,0.666666667,926,1,3,463,0,133,0.916290732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.925580779
34,0.333333333,1924,1,3,161,0.693147181,253,0.405465108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.783901544
45,0.333333333,396,1,3,251,1.386294361,329,1.098612289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.349803253
58,0.666666667,315,1,3,121,0.693147181,135,0.693147181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.925580779
49,0.666666667,20727,1,3,285,1.098612289,132,0.693147181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.049655444
38,0.333333333,715,2,3,951,0,132,0.916290732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.925580779
49,0.333333333,182,2,3,303,0,331,0.693147181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.783901544
36,0.333333333,4613,2,3,320,0,134,0.693147181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.783901544
39,0.333333333,508,2,3,598,0.693147181,135,1.252762968,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.259407511
48,0.333333333,0,2,3,146,0,267,0.405465108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.618782765
38,0.333333333,0,2,3,477,0.693147181,267,0.405465108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.783901544
46,0.333333333,-30,2,3,164,0,300,0.693147181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.783901544
35,0.666666667,560,2,3,58,0,136,0.405465108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.618782765
58,0.333333333,1,2,3,333,0,64,0.693147181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.783901544
35,0.666666667,4348,2,3,1074,1.098612289,217,1.609437912,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.580352332
32,0.666666667,233,2,3,77,0.693147181,133,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.160020917
30,0.666666667,0,2,3,293,0.693147181,314,0.693147181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.925580779
53,0,1409,2,3,464,0,287,0.405465108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.618782765
40,0,738,2,3,399,0.693147181,258,0.916290732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.049655444
57,0.666666667,1631,2,3,254,0.693147181,261,0.916290732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.049655444
37,0.666666667,489,3,3,246,0.693147181,133,1.386294361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.349803253
38,0.333333333,-421,3,3,187,0,332,1.252762968,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.160020917
54,0,136,3,3,352,0,332,0.693147181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.783901544
56,0,0,3,3,353,0.693147181,227,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.160020917
24,0.333333333,496,3,3,297,0,323,0.693147181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.783901544
35,0.333333333,3187,3,3,445,0,135,0.916290732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.925580779
