Dependents,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Gender_nan,Married_Yes,Married_nan,Self_Employed_Yes,Self_Employed_nan,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y,TotalIncome
0,1.082951885,1.056389658,0.75,1,1,0,0,0,0,0,0,0,1,1,0.841085716
0.333333333,0.924041253,1.045549444,0.75,1,1,0,1,0,0,0,0,0,0,0,0.871710972
0,0.681511626,0.633249039,0.75,1,1,0,1,0,1,0,0,0,1,1,0.38518942
0,0.606462929,1.000973819,0.75,1,1,0,1,0,0,0,1,0,1,1,0.717011603
0,1.100324618,1.113997208,0.75,1,1,0,0,0,0,0,0,0,1,1,0.860304613
0.666666667,1.031515036,1.609437912,0.75,1,1,0,1,0,1,0,0,0,1,1,1.23562847
0,0.558611489,0.84729786,0.75,1,1,0,1,0,0,0,1,0,1,1,0.544003871
1,0.687734099,1.196971609,0.75,0,1,0,1,0,0,0,0,1,0,0,0.800566701
0.666666667,0.842290855,1.24274619,0.75,1,1,0,1,0,0,0,0,0,1,1,0.799495549
0.333333333,1.677088552,1.835986513,0.75,1,1,0,1,0,0,0,0,1,0,0,2.037432777
0.666666667,0.715600994,0.665640535,0.75,1,1,0,1,0,0,0,0,0,1,1,0.552786292
0.666666667,0.590828782,0.936245346,0.75,1,1,0,1,0,0,1,0,0,1,1,0.625514454
0.666666667,0.694089324,1.376557186,0.75,1,1,0,1,0,0,0,0,0,1,1,1.36282147
0,0.459775839,0.966187703,0.75,1,1,0,0,0,0,0,0,0,0,0,0.680264509
0.666666667,0.332055593,0.116921338,0.25,1,1,0,1,0,0,0,0,0,1,1,0.252022663
0,0.972763392,1.029065554,0.75,1,1,0,0,0,0,0,0,0,1,1,0.718320105
0.333333333,0.779851455,0.879980508,0.5,1,1,0,0,0,0,0,1,0,1,1,0.49925797
0,0.766244727,0.712341628,0.75,0,0,0,0,0,0,0,0,0,1,0,0.483580217
0,0.964566625,1.072432783,0.75,1,1,0,1,0,0,0,1,0,0,0,0.709124427
0,0.609635166,0.972070073,0.75,1,1,0,1,0,0,1,0,0,1,1,0.872832035
0,1.273719462,0.905378698,0.75,0,1,0,1,0,0,0,1,0,1,0,1.050315894
0.333333333,1.095178809,1.748188221,0.75,1,1,0,1,0,0,0,0,0,1,1,1.392946736
0,0.609635166,0.977918043,0.75,0,1,0,1,0,0,0,1,1,0,0,0.652410934
0.666666667,0.742875412,0.954318127,0.75,0,0,1,1,0,0,0,1,0,0,0,0.765430419
0.333333333,0.798687629,1.163635189,0.75,1,1,0,1,0,0,1,0,1,0,0,0.938128178
0,1.441105454,1.34069677,0.75,1,1,0,1,0,1,0,0,1,0,1,1.231027405
0,0.646039405,1.012305385,0.75,1,1,0,1,0,0,0,0,1,0,1,0.733031359
0.666666667,0.874254061,0.942305971,0.75,1,1,0,1,0,0,0,1,0,1,1,0.763210228
0,0.366616791,0.338684627,0.75,1,1,0,0,0,0,0,1,0,1,0,0.005599284
0.666666667,0.803763782,1.000973819,0.75,1,0,0,0,0,0,1,0,1,0,1,0.839027465
0.333333333,0.865637651,1.380463441,0.75,1,1,0,1,0,0,1,0,0,1,0,1.037199359
0,0.710055693,0.697015657,0.75,1,1,0,0,0,0,0,0,0,1,0,0.418485342
0.333333333,0.938761303,0.917839919,0.75,1,1,0,0,0,1,0,0,0,0,0,0.680113568
0,0.764650466,0.966187703,0.75,1,1,0,1,0,0,0,0,1,0,1,0.749362096
1,1.654999301,1.761593247,0.75,1,1,0,0,0,0,0,0,0,0,0,1.647666294
0,0.547174906,1.056389658,0.75,1,1,0,1,0,0,0,0,0,1,1,0.62583325
0,0.454350479,0.879980508,0.75,0,1,0,1,0,0,0,0,0,1,0,0.416718936
0,0.790947053,1.129149013,0.75,1,0,0,1,0,0,0,0,1,0,1,0.743570377
0,0.865637651,1.311888193,0.75,1,1,0,0,0,0,0,0,0,1,1,1.377734587
0,0.803456868,0.942305971,0.75,1,1,0,0,0,0,0,1,1,0,1,0.783833506
0,0.780479843,0.742306417,0.75,1,1,0,0,0,0,0,0,0,1,0,0.49998122
0,0.448238924,0.463197575,0.75,1,1,0,0,0,0,0,0,0,1,1,0.387821484
0,0.571661927,0.704708003,0.75,1,1,0,1,0,0,0,0,0,1,1,0.2554908
0,0.832648294,1.077723801,0.75,1,1,0,1,0,0,0,0,1,0,1,0.894627995
0,0.939163394,0.853920401,0.75,1,1,0,1,0,1,0,1,0,1,1,0.680566324
0,0.750186574,0.799669811,0.75,1,0,0,0,0,0,0,0,0,1,1,0.46503573
0.333333333,1.05946698,0.43349242,0.75,1,1,0,1,0,0,0,0,0,1,1,0.815047978
0,1.079697014,1.129149013,0.75,1,1,0,1,0,0,0,0,0,1,1,0.837480992
0,0.617984008,1.000973819,0.75,0,0,0,1,0,0,0,0,0,1,0,0.870962897
0,0.841404657,1.129149013,0.75,1,0,0,0,0,0,0,0,1,0,1,0.894384348
0,0.475877518,0.879980508,0.75,1,0,0,1,0,0,0,1,1,0,1,0.494907451
0,0.696312688,1.000973819,0.75,1,0,0,0,0,0,0,0,1,0,1,0.402474224
0,0.874825857,0.954318127,0.75,1,0,0,0,0,0,0,0,1,0,0,0.607822257
0.666666667,0.928520696,1.077723801,0.75,1,1,0,1,0,0,0,0,0,1,0,0.668574849
0.333333333,1.587257138,1.666682455,0.75,0,0,0,1,0,1,0,0,0,1,0,1.387008737
0.666666667,0.629556511,0.860499372,0.75,1,1,0,1,0,0,0,0,1,0,1,0.548490821
0,0.518406074,0.853920401,0.75,1,1,0,1,0,0,0,0,1,0,1,0.521969586
0,0.743038464,1.082986971,0.75,1,1,0,1,0,0,0,0,0,0,0,0.804040044
0.333333333,1.313207554,1.29504569,0.75,1,1,0,1,0,0,0,0,0,1,1,1.295878076
